Scenario - visual LTP Rap V4.0 HVC (based on combined block 1+2 from old 45 135 degree pilot)
Logfile written - 10/23/2015 13:03:15

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
07_S0314_v0	137	Picture	full0n	1814526	0	2	3167	3	0	3120	other	0
07_S0314_v0	138	Picture	full0i	1826860	0	1	2833	3	0	2790	other	0
07_S0314_v0	139	Picture	full0n	1839693	0	2	4501	3	0	4450	other	0
07_S0314_v0	140	Picture	full1n	1851194	0	1	3500	2	0	3450	other	0
07_S0314_v0	141	Picture	blue0i	1864694	0	1	4833	2	0	4790	false_alarm	164
07_S0314_v0	141	Response	10	1868117	3423	2
07_S0314_v0	142	Picture	full0n	1876861	0	1	4333	2	0	4290	other	0
07_S0314_v0	143	Picture	full1i	1889194	0	2	3500	4	0	3450	other	0
07_S0314_v0	144	Picture	full1n	1900194	0	2	4167	3	0	4120	other	0
07_S0314_v0	145	Picture	full1i	1911528	0	1	3000	2	0	2950	other	0
07_S0314_v0	146	Picture	full0i	1923695	0	1	3833	2	0	3790	other	0
07_S0314_v0	147	Picture	full1n	1934695	0	1	5000	2	0	4950	other	0
07_S0314_v0	148	Picture	full1i	1947362	0	1	4167	2	0	4120	other	0
07_S0314_v0	149	Picture	blue0n	1959529	0	1	4166	3	0	4120	false_alarm	173
07_S0314_v0	149	Response	10	1963717	4188	3
07_S0314_v0	150	Picture	full0i	1972195	0	2	3667	3	0	3620	other	0
07_S0314_v0	151	Picture	full0n	1983029	0	1	4500	2	0	4450	other	0
07_S0314_v0	152	Picture	full0i	1995363	0	1	3333	2	0	3290	other	0
07_S0314_v0	153	Picture	full0n	2007696	0	1	4333	3	0	4290	other	0
07_S0314_v0	154	Picture	full1n	2019863	0	1	4667	2	0	4620	other	0
07_S0314_v0	155	Picture	full0i	2033030	0	1	2500	2	0	2450	other	0
07_S0314_v0	156	Picture	full1i	2043863	0	2	3000	4	0	2950	other	0
07_S0314_v0	157	Picture	full0n	2054863	0	2	4974	70	0	4950	other	0
07_S0314_v0	158	Picture	full1n	2067530	0	2	4500	4	0	4450	other	0
07_S0314_v0	159	Picture	blue1i	2080697	0	1	3000	2	0	2950	false_alarm	184
07_S0314_v0	159	Response	10	2085017	4320	2
07_S0314_v0	160	Picture	full0i	2092197	0	2	3334	3	0	3290	other	0
07_S0314_v0	161	Picture	full0n	2105698	0	1	3166	2	0	3120	other	0
07_S0314_v0	162	Picture	full1n	2118864	0	2	3834	3	0	3790	other	0
07_S0314_v0	163	Picture	full1i	2131031	0	2	5000	4	0	4950	other	0
07_S0314_v0	164	Picture	full1n	2142865	0	1	2500	2	0	2450	other	0
07_S0314_v0	165	Picture	full0i	2156032	0	1	4333	2	0	4290	other	0
07_S0314_v0	166	Picture	full0n	2169532	0	1	2833	2	0	2790	other	0
07_S0314_v0	167	Picture	full1i	2181865	0	2	2834	3	0	2790	other	0
07_S0314_v0	168	Picture	full0i	2194699	0	1	4167	2	0	4120	other	0
07_S0314_v0	169	Picture	full0n	2206199	0	1	3667	2	0	3620	other	0
07_S0314_v0	170	Picture	full0i	2218032	0	2	3667	3	0	3620	other	0
07_S0314_v0	171	Picture	full1n	2231533	0	1	5000	2	0	4950	other	0
07_S0314_v0	172	Picture	full0n	2242366	0	2	2834	3	0	2790	other	0
07_S0314_v0	173	Picture	blue0i	2253700	0	1	3000	2	0	2950	false_alarm	199
07_S0314_v0	173	Response	10	2259017	5317	2
07_S0314_v0	174	Picture	full1i	2265533	0	2	2834	3	0	2790	other	0
07_S0314_v0	175	Picture	full1n	2276533	0	2	4000	4	0	3950	other	0
07_S0314_v0	176	Picture	full1i	2288700	0	2	3667	3	0	3620	other	0
07_S0314_v0	177	Picture	full1n	2300534	0	1	2833	2	0	2790	other	0
07_S0314_v0	178	Picture	blue1i	2312867	0	2	4334	3	0	4290	false_alarm	205
07_S0314_v0	178	Response	10	2317807	4940	2
07_S0314_v0	179	Picture	full0n	2325034	0	1	3667	2	0	3620	other	0
07_S0314_v0	180	Picture	full1n	2337868	0	1	3666	3	0	3620	other	0
07_S0314_v0	181	Picture	full0i	2348868	0	1	4500	2	0	4450	other	0
07_S0314_v0	182	Picture	full1i	2361535	0	1	3166	3	0	3120	other	0
07_S0314_v0	183	Picture	full0n	2374202	0	1	3000	2	0	2950	other	0
07_S0314_v0	184	Picture	full1n	2386867	0	24	3168	25	0	3120	other	0
07_S0314_v0	185	Picture	full1i	2399035	0	2	3834	3	0	3790	other	0
07_S0314_v0	186	Picture	full1n	2411867	0	5	3002	6	0	2950	other	0
07_S0314_v0	187	Picture	full1i	2425369	0	1	4833	3	0	4790	other	0
07_S0314_v0	188	Picture	full0i	2436869	0	2	2498	7	0	2450	other	0
07_S0314_v0	189	Picture	blue0n	2448203	0	1	3000	2	0	2950	false_alarm	217
07_S0314_v0	189	Response	10	2452607	4404	2
07_S0314_v0	190	Picture	full1n	2460369	0	2	3000	4	0	2950	other	0
07_S0314_v0	191	Picture	full1i	2473203	0	1	3664	19	0	3620	other	0
07_S0314_v0	192	Picture	full0i	2486703	0	2	3334	3	0	3290	other	0
07_S0314_v0	193	Picture	full0n	2497537	0	1	4500	2	0	4450	other	0
07_S0314_v0	194	Picture	full0i	2510204	0	1	4166	2	0	4120	other	0
07_S0314_v0	195	Picture	full1n	2521204	0	1	2666	3	0	2620	other	0
07_S0314_v0	196	Picture	full1i	2533371	0	1	4666	3	0	4620	other	0
07_S0314_v0	197	Picture	blue1n	2544371	0	1	2667	2	0	2620	false_alarm	226
07_S0314_v0	197	Response	10	2548907	4536	3
07_S0314_v0	198	Picture	full0n	2556704	0	2	4667	3	0	4620	other	0
07_S0314_v0	199	Picture	full1i	2569871	0	2	2834	3	0	2790	other	0
07_S0314_v0	200	Picture	full0i	2580705	0	1	4000	2	0	3950	other	0
07_S0314_v0	201	Picture	full0n	2592872	0	1	3500	2	0	3450	other	0
07_S0314_v0	202	Picture	full0i	2604705	0	1	4000	2	0	3950	other	0
07_S0314_v0	203	Picture	full1n	2615705	0	2	4500	3	0	4450	other	0
07_S0314_v0	204	Picture	full1i	2629205	0	2	2500	4	0	2450	other	0
07_S0314_v0	205	Picture	full1n	2641039	0	1	4167	2	0	4120	other	0
07_S0314_v0	206	Picture	blue1i	2654206	0	1	4833	2	0	4790	false_alarm	236
07_S0314_v0	206	Response	10	2658707	4501	2
07_S0314_v0	207	Picture	full1n	2665206	0	1	2500	2	0	2450	other	0
07_S0314_v0	208	Picture	full1i	2678039	0	2	4834	3	0	4790	other	0
07_S0314_v0	209	Picture	full1n	2689373	0	1	3333	3	0	3290	other	0
07_S0314_v0	210	Picture	full0n	2702040	0	1	3500	2	0	3450	other	0
07_S0314_v0	211	Picture	full0i	2714707	0	2	3833	3	0	3790	other	0
07_S0314_v0	212	Picture	full1i	2727873	0	2	4501	3	0	4450	other	0
07_S0314_v0	213	Picture	full1n	2738707	0	2	2500	4	0	2450	other	0
07_S0314_v0	214	Picture	full0n	2750207	0	2	4167	3	0	4120	other	0
07_S0314_v0	215	Picture	full1i	2763041	0	1	4666	3	0	4620	other	0
07_S0314_v0	216	Picture	blue0i	2774874	0	2	2500	3	0	2450	false_alarm	247
07_S0314_v0	216	Response	10	2778507	3633	2
07_S0314_v0	217	Picture	full0n	2786708	0	1	3499	3	0	3450	other	0
07_S0314_v0	218	Picture	full0i	2798208	0	1	3167	2	0	3120	other	0
07_S0314_v0	219	Picture	full0n	2809041	0	2	3000	4	0	2950	other	0
07_S0314_v0	220	Picture	full1n	2821375	0	1	3333	2	0	3290	other	0
07_S0314_v0	221	Picture	full1i	2834208	0	2	3000	4	0	2950	other	0
07_S0314_v0	222	Picture	full0i	2846542	0	1	3000	2	0	2950	other	0
07_S0314_v0	223	Picture	full0n	2860042	0	2	3667	3	0	3620	other	0
07_S0314_v0	224	Picture	full0i	2873542	0	2	4000	4	0	3950	other	0
07_S0314_v0	225	Picture	blue1n	2885709	0	2	4834	3	0	4790	false_alarm	257
07_S0314_v0	225	Response	10	2891107	5398	2
07_S0314_v0	226	Picture	full0n	2899209	0	2	2500	4	0	2450	other	0
07_S0314_v0	227	Picture	full1i	2910543	0	1	4500	2	0	4450	other	0
07_S0314_v0	228	Picture	full0i	2923710	0	1	3333	2	0	3290	other	0
07_S0314_v0	229	Picture	full0n	2936377	0	1	4500	2	0	4450	other	0
07_S0314_v0	230	Picture	full1n	2947210	0	2	4167	3	0	4120	other	0
07_S0314_v0	231	Picture	full0i	2960377	0	1	3833	3	0	3790	other	0
07_S0314_v0	232	Picture	full0n	2973210	0	2	4501	3	0	4450	other	0
07_S0314_v0	233	Picture	full0i	2985377	0	2	2834	3	0	2790	other	0
07_S0314_v0	234	Picture	full0n	2996866	0	18	3845	19	0	3790	other	0
07_S0314_v0	235	Picture	full0i	3008378	0	1	4500	2	0	4450	other	0
07_S0314_v0	236	Picture	full1i	3021211	0	2	3667	3	0	3620	other	0
