Scenario - visual LTP Rap V4.0 HVC (based on combined block 1+2 from old 45 135 degree pilot)
Logfile written - 10/08/2015 17:26:19

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
04_S0311_v0	158	Picture	full1n	2079644	0	1	4500	2	0	4450
04_S0311_v0	159	Picture	blue1i	2092977	0	1	3000	2	0	2950
04_S0311_v0	159	Response	10	2098486	5509	1
04_S0311_v0	160	Picture	full0i	2104644	0	1	3333	2	0	3290
04_S0311_v0	161	Picture	full0n	2118144	0	1	3166	2	0	3120
04_S0311_v0	162	Picture	full1n	2131477	0	1	3833	2	0	3790
04_S0311_v0	163	Picture	full1i	2143643	0	1	5000	2	0	4950
04_S0311_v0	164	Picture	full1n	2155643	0	1	2500	2	0	2450
04_S0311_v0	165	Picture	full0i	2168976	0	1	4334	2	0	4290
04_S0311_v0	166	Picture	full0n	2182476	0	1	2833	3	0	2790
04_S0311_v0	167	Picture	full1i	2194976	0	1	2833	2	0	2790
04_S0311_v0	168	Picture	full0i	2207976	0	1	4167	2	0	4120
04_S0311_v0	169	Picture	full0n	2219642	0	2	3667	3	0	3620
04_S0311_v0	170	Picture	full0i	2231642	0	1	3667	2	0	3620
04_S0311_v0	171	Picture	full1n	2245142	0	1	5000	2	0	4950
04_S0311_v0	172	Picture	full0n	2255975	0	2	2834	3	0	2790
04_S0311_v0	173	Picture	blue0i	2267309	0	1	3000	2	0	2950
04_S0311_v0	173	Response	10	2271583	4274	1
04_S0311_v0	174	Picture	full1i	2279308	0	2	2834	3	0	2790
04_S0311_v0	175	Picture	full1n	2290475	0	1	4000	2	0	3950
04_S0311_v0	176	Picture	full1i	2302642	0	1	3666	2	0	3620
04_S0311_v0	177	Picture	full1n	2314641	0	2	2834	3	0	2790
04_S0311_v0	178	Picture	blue1i	2327141	0	1	4334	2	0	4290
04_S0311_v0	178	Response	10	2333582	6441	1
04_S0311_v0	179	Picture	full0n	2339308	0	1	3666	3	0	3620
